1552528_at	2.437254	11.910536
1552311_a_at	2.585224	12.341251
1552490_at	2.480474	12.999916
1552544_at	2.696356	12.786744
1552772_at	2.819104	12.802979
1553141_at	2.333115	12.132543
1553336_a_at	2.123111	10.661901
1553367_a_at	2.604953	11.993436
1553439_at	2.226930	11.273565
1554522_at	2.662292	12.376905
1554609_at	2.399731	12.961680
1555485_s_at	2.608844	11.794689
1555561_a_at	2.442329	12.292907
1555708_a_at	2.294697	11.171271
1559635_at	2.420899	11.648495
1560099_at	2.491909	11.219540
1560762_at	2.454444	12.308653
1560794_at	2.643783	11.821602
1561099_at	2.472981	12.674145
1561345_at	2.615095	12.922175
1561581_at	2.737973	12.264130
1563055_at	2.654688	12.813832
1563090_at	2.405616	12.333619
1563221_at	2.647715	12.671469
1565862_a_at	2.618913	12.531425
1566476_at	2.350197	11.078520
1566901_at	2.267325	10.516044
1568743_at	2.878601	12.912499
1568760_at	2.701474	12.181290
1568930_at	2.431390	11.288901
1569620_s_at	2.269298	10.786307
1569690_at	2.445999	12.606297
1569885_at	2.539718	12.918200
1570188_at	2.844163	12.805933
1570212_a_at	2.502709	11.754645
1570622_at	2.427718	12.133164
201027_s_at	2.312391	12.342947
201536_at	2.487388	12.486188
202068_s_at	2.337497	10.525215
202556_s_at	2.100141	11.173192
202704_at	2.551781	11.859822
202868_s_at	2.620231	11.852240
202996_at	2.348241	12.977510
203025_at	2.494395	11.752925
203062_s_at	2.405694	12.229857
203084_at	2.517083	12.070941
203129_s_at	2.606736	12.683740
203273_s_at	2.814548	12.583050
203495_at	2.704025	12.938337
203507_at	2.502326	12.634972
203666_at	2.188004	10.692291
204549_at	2.500003	12.833919
204724_s_at	2.416995	11.029881
204859_s_at	2.481946	11.513925
204905_s_at	2.566446	12.074154
204967_at	2.328000	12.741911
205045_at	2.679441	11.987243
205137_x_at	2.212995	9.926159
205146_x_at	2.437254	11.880818
205173_x_at	2.740135	12.347445
205471_s_at	2.147130	10.230443
205485_at	2.691845	12.390871
206202_at	2.674631	12.379546
206266_at	2.586789	12.119658
206289_at	2.256490	12.308854
206578_at	2.350197	10.634246
206962_x_at	2.768463	12.830482
207069_s_at	2.611403	12.759956
207100_s_at	2.532269	12.673770
207432_at	2.812613	12.581580
207539_s_at	2.112852	9.477180
207544_s_at	2.431212	12.345934
207630_s_at	2.677293	12.332067
207723_s_at	2.318975	10.956589
207869_s_at	2.110450	12.399793
207940_x_at	2.556402	12.395187
207941_s_at	2.768463	12.403152
208029_s_at	2.684940	12.054328
208083_s_at	2.573436	11.891495
208120_x_at	2.557312	12.353703
208162_s_at	2.177451	11.738348
208423_s_at	2.631351	12.396532
209159_s_at	2.423171	12.296491
210227_at	2.828648	12.992247
210383_at	2.394712	11.340361
210404_x_at	2.492607	12.671064
210531_at	2.482489	11.306019
210562_at	2.437254	11.825718
210688_s_at	2.679473	12.228508
210714_at	2.350197	11.278272
210751_s_at	2.180275	11.886678
210783_x_at	2.642186	12.797096
210873_x_at	2.331582	12.556842
210894_s_at	2.590705	11.700233
210959_s_at	2.654007	12.093914
210989_at	2.342856	12.678980
210996_s_at	2.143906	11.288761
211048_s_at	2.657677	11.920512
211138_s_at	2.331977	10.581903
211536_x_at	2.382447	11.400179
211692_s_at	2.429511	10.989554
211906_s_at	2.556402	11.995750
211955_at	2.736015	12.853565
212608_s_at	2.210840	12.436637
212942_s_at	2.812916	12.931256
213246_at	2.753448	12.676447
213336_at	2.541066	11.556193
213364_s_at	2.586193	11.617008
213457_at	2.823469	12.910883
213629_x_at	2.650002	12.401774
213709_at	2.556402	12.598118
213775_x_at	2.202628	12.720559
214051_at	2.650002	12.386890
215509_s_at	2.758661	12.357033
215798_at	2.158199	12.374719
217131_at	2.456207	12.283053
217639_at	2.650002	11.906971
217646_at	2.482822	11.766868
217664_at	2.350197	12.872027
217994_x_at	2.465542	11.677457
218020_s_at	2.715622	12.787889
218776_s_at	2.810765	12.867536
218806_s_at	2.326157	11.783627
219633_at	2.639661	11.906748
219695_at	2.227683	10.996794
219703_at	2.493289	12.325279
219891_at	2.494810	12.393569
219907_at	2.346825	11.857509
220058_at	2.596364	12.612801
220164_s_at	2.472253	11.306313
220203_at	2.819970	12.868590
220244_at	2.650002	12.768106
221159_at	2.669087	12.862355
222172_at	2.449612	12.072451
222197_s_at	2.582158	12.975547
222988_s_at	2.350197	12.761545
223009_at	2.434223	11.093165
223134_at	2.256490	10.963764
224056_at	2.371611	11.632424
224252_s_at	2.810250	12.694039
225191_at	2.768463	12.537338
225299_at	2.662169	12.273774
225516_at	2.261410	11.732013
225553_at	2.486936	12.762651
225597_at	2.583375	12.533769
226077_at	2.377335	11.928991
226377_at	2.517713	12.338090
226691_at	2.337730	11.767083
226873_at	2.858484	12.930211
227012_at	2.359412	12.371235
228018_at	2.117672	11.180351
228099_at	2.363850	11.149748
228382_at	2.332409	11.325256
228681_x_at	2.402231	12.074707
228716_at	2.296785	12.264011
228736_at	2.134300	10.719369
229264_at	2.629214	12.825401
229660_at	2.483721	12.113122
230019_s_at	2.403327	11.235056
230414_s_at	2.484159	12.773096
230462_at	2.471160	12.201391
230500_at	2.646359	12.352811
231241_at	2.826260	12.798825
231901_at	2.274116	11.405878
232104_at	2.837247	12.716289
232643_at	2.185048	11.087857
232644_x_at	2.580656	12.414127
232708_at	2.452366	11.306106
232761_at	2.499775	12.945854
233641_s_at	2.650002	12.794260
235051_at	2.551385	11.420878
235322_at	2.647924	12.929203
236251_at	2.666010	12.588485
236918_s_at	2.650002	12.888353
237482_s_at	2.688586	12.483864
239060_at	2.369547	11.863091
240233_at	2.268867	11.185204
240487_at	2.484652	11.526285
240978_at	2.681576	12.403842
241316_at	2.709006	12.279034
241387_at	2.396505	11.716491
243443_at	2.542908	12.842282
243940_at	2.541558	12.665133
244035_at	2.356842	11.899622
244150_at	2.184113	10.164698
244218_at	2.332729	10.442203
